source	target
KEGG PPAR SIGNALING PATHWAY	7316
KEGG PPAR SIGNALING PATHWAY	5468
KEGG PPAR SIGNALING PATHWAY	5467
KEGG PPAR SIGNALING PATHWAY	2180
KEGG PPAR SIGNALING PATHWAY	79966
KEGG PPAR SIGNALING PATHWAY	51
KEGG PPAR SIGNALING PATHWAY	2181
KEGG PPAR SIGNALING PATHWAY	2182
KEGG BASE EXCISION REPAIR	252969
KEGG BASE EXCISION REPAIR	4350
KEGG BASE EXCISION REPAIR	23583
KEGG BASE EXCISION REPAIR	7515
KEGG BASE EXCISION REPAIR	56655
KEGG BASE EXCISION REPAIR	3146
KEGG BASE EXCISION REPAIR	54107
KEGG BASE EXCISION REPAIR	57804
KEGG BASE EXCISION REPAIR	8930
KEGG BASE EXCISION REPAIR	4968
KEGG BASE EXCISION REPAIR	7374
KEGG BASE EXCISION REPAIR	10714
KEGG BASE EXCISION REPAIR	5111
KEGG BASE EXCISION REPAIR	79661
KEGG BASE EXCISION REPAIR	5427
KEGG BASE EXCISION REPAIR	143
KEGG BASE EXCISION REPAIR	10039
KEGG BASE EXCISION REPAIR	10038
KEGG BASE EXCISION REPAIR	5423
KEGG BASE EXCISION REPAIR	328
KEGG BASE EXCISION REPAIR	27343
KEGG BASE EXCISION REPAIR	5424
KEGG BASE EXCISION REPAIR	5425
KEGG BASE EXCISION REPAIR	5426
KEGG BASE EXCISION REPAIR	55247
KEGG BASE EXCISION REPAIR	6996
KEGG BASE EXCISION REPAIR	27301
KEGG BASE EXCISION REPAIR	3980
KEGG BASE EXCISION REPAIR	4913
KEGG BASE EXCISION REPAIR	2237
KEGG BASE EXCISION REPAIR	3978
KEGG BASE EXCISION REPAIR	4595
KEGG BASE EXCISION REPAIR	142
KEGG NUCLEOTIDE EXCISION REPAIR	4331
KEGG NUCLEOTIDE EXCISION REPAIR	56655
KEGG NUCLEOTIDE EXCISION REPAIR	2072
KEGG NUCLEOTIDE EXCISION REPAIR	54107
KEGG NUCLEOTIDE EXCISION REPAIR	2071
KEGG NUCLEOTIDE EXCISION REPAIR	2074
KEGG NUCLEOTIDE EXCISION REPAIR	2073
KEGG NUCLEOTIDE EXCISION REPAIR	404672
KEGG NUCLEOTIDE EXCISION REPAIR	57804
KEGG NUCLEOTIDE EXCISION REPAIR	2068
KEGG NUCLEOTIDE EXCISION REPAIR	5984
KEGG NUCLEOTIDE EXCISION REPAIR	1069
KEGG NUCLEOTIDE EXCISION REPAIR	5985
KEGG NUCLEOTIDE EXCISION REPAIR	6117
KEGG NUCLEOTIDE EXCISION REPAIR	5887
KEGG NUCLEOTIDE EXCISION REPAIR	9978
KEGG NUCLEOTIDE EXCISION REPAIR	1643
KEGG NUCLEOTIDE EXCISION REPAIR	6119
KEGG NUCLEOTIDE EXCISION REPAIR	10714
KEGG NUCLEOTIDE EXCISION REPAIR	6118
KEGG NUCLEOTIDE EXCISION REPAIR	5886
KEGG NUCLEOTIDE EXCISION REPAIR	5111
KEGG NUCLEOTIDE EXCISION REPAIR	29935
KEGG NUCLEOTIDE EXCISION REPAIR	1642
KEGG NUCLEOTIDE EXCISION REPAIR	5427
KEGG NUCLEOTIDE EXCISION REPAIR	2067
KEGG NUCLEOTIDE EXCISION REPAIR	5424
KEGG NUCLEOTIDE EXCISION REPAIR	5425
KEGG NUCLEOTIDE EXCISION REPAIR	5426
